name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
Saints Row: The Third,0.95979607,6.9899998,29523,3/20/2020,615139,46687,11/17/2011,1,0,0,1,0
Serious Sam 3: BFE,0.88735682,29.99,101191,1/20/2020,967829,17551,11/22/2011,1,1,0,1,0
Star Trek Online,0.76161516,0,8787,8/20/2020,513664,10030,1/31/2012,0,0,0,0,0
The Witcher 2: Assassins of Kings Enhanced Edition,0.88550454,14.99,13068,11/20/2020,800069,41137,4/16/2012,1,0,0,0,0
Risen 2: Dark Waters,0.77024239,7.9899998,4450,8/20/2020,1342559,3878,4/26/2012,1,0,0,0,0
Tribes: Ascend,0.78825533,0,31123,1/20/2020,618700,8206,6/27/2012,0,0,0,1,0
Spec Ops: The Line,0.92528737,19.99,23760,7/20/2020,599655,34974,6/28/2012,0,0,0,1,0
Source Filmmaker,0.93139434,0,1966,7/17/2020,760689,16194,7/10/2012,0,0,0,0,0
Counter-Strike: Global Offensive,0.86795199,0,1298358,1/20/2020,967829,3046717,8/21/2012,1,0,1,1,0
Borderlands 2,0.92917824,19.99,206508,1/20/2020,811003,155616,9/20/2012,1,0,0,1,0
Natural Selection 2,0.84822696,6.9899998,15498,7/20/2020,599655,9870,10/30/2012,1,0,0,1,0
Call of Duty:: Black Ops,0.88534915,29.99,34830,3/20/2020,701500,16040,11/12/2012,1,0,0,1,0
Sniper: Ghost Warrior 2,0.71323299,6.9899998,301,9/20/2020,534140,9499,3/11/2013,1,0,0,1,0
BioShock Infinite,0.95382285,19.99,20775,10/20/2020,589628,83288,3/25/2013,1,0,0,1,0
Far Cry: 2: Fortune's Edition,0.75266677,8.5900002,4968,6/20/2020,1095466,7031,5/1/2013,1,0,0,1,0
GRID 2,0.79889053,19.98,19387,3/20/2020,1273772,14962,5/27/2013,1,0,0,0,0
Trine 2: Complete Story,0.95865297,13.99,22915,7/20/2020,1076453,17075,6/6/2013,1,0,0,0,0
FINAL FANTASY VII,0.93031746,9.9899998,142666,7/20/2020,760689,12600,7/4/2013,1,1,0,0,0
Dota 2,0.85871023,0,1045985,8/19/2020,1342559,1005586,7/9/2013,0,0,1,0,1
Stronghold Crusader HD,0.95999056,7.4899998,9832,3/20/2020,701500,4249,10/21/2013,0,0,0,0,0
Stronghold HD,0.93763709,3.49,10356,1/20/2020,811003,3191,10/21/2013,0,0,0,0,0
Assassin's Creed: Brotherhood,0.8778435,12.49,7063,7/20/2020,760689,7605,11/19/2013,1,0,0,0,0
FINAL FANTASY VIII,0.886428,9.9899998,143278,1/20/2020,1357375,6005,12/5/2013,1,1,0,0,0
Ultra Street Fighter: IV,0.87846184,22.99,143761,12/20/2020,543112,9388,8/7/2014,1,0,0,0,0
Dead Rising: 2,0.74389911,14.99,14784,10/20/2020,608466,3647,9/5/2014,1,0,0,0,0
FINAL FANTASY XIV Online,0.82316411,9.9899998,132239,3/20/2020,1273772,11915,10/9/2014,0,0,0,0,0
Assassin's Creed: Director's Cut Edition,0.83171612,8.5900002,30478,7/20/2020,599655,6905,3/9/2015,0,0,0,0,0
Devil May Cry 5,0.92232555,44.990002,140428,3/20/2020,1273772,19144,6/23/2015,1,0,0,0,0
Trove,0.77748561,0,17482,2/20/2020,744805,61605,7/9/2015,0,0,0,0,0
Universe Sandbox,0.94011122,19.49,5021,10/20/2020,1211344,6295,8/24/2015,0,0,0,0,0
Fallout: A Post Nuclear Role Playing Game,0.91568321,7.9899998,181041,1/20/2020,1357375,7626,11/1/2015,0,1,0,1,0
Tom Clancy's Rainbow Six: Vegas 2,0.84990126,8.5900002,2356,7/20/2020,1232340,3038,12/1/2015,1,0,0,1,0
Who's Your Daddy,0.72240335,3.99,34898,1/20/2020,618700,13498,5/13/2016,0,0,0,0,0
